@id	name	@center	@lat	@lon	addr:city	addr:street	addr:housenumber	addr:postcode	opening_hours
388156406	Neue Apotheke am Dehnthof		54.6621681	9.9332303	Kappeln	Dehnthof	9	24376	
388254374	Förde-Apotheke		54.3329795	10.1902178	Kiel	Ivensring	19	24149	
392351054	Sankt Jürgen-Apotheke		53.8576980	10.6926929					"Mo-Fr 08:00-13:00,14:30-18:00; Sa 09:00-13:00"
392721173	Wiking Apotheke		54.4040149	10.2218954	Laboe	Dellenberg	10	24235	"Mo-Sa 08:00-13:00; Mo-Tu,Th-Fr 15:00-18:30"
393207346	Adler-Apotheke		53.6612553	9.7971505	Pinneberg	Dingstätte	22	25421	Mo-Fr 08:00-20:00; Sa 08:00-16:00; PH off
395497206	Storch-Apotheke		54.3080028	9.3170202	Erfde	Süderende	10	24803	"Mo-Fr 08:00-13:00,14:30-18:30; Sa 08:00-12:00; Su off"
398857591	Königlich privilegierte Apotheke		54.7718107	8.9739513	Leck		1	25917	Mo-Fr 08:00-18:30; Sa 08:00-13:00
399075549	Finken-Apotheke		54.7173288	9.6691330	Sörup	Bahnhofstraße	1	24966	"PH,Su off, Mo-Sa 09:00-12:30, Mo,Tu,Th 14:00-19:00, We,Fr 14:00-18:30"
400697977	Geest-Apotheke		54.7591478	9.1828532	Schafflund			24980	
409467667	Steinburg Apotheke		53.7884785	9.4244314	Glückstadt	Am Markt	8	25348	"Mo-Fr 08:00-12:30,14:00-18:00;Sa 08:00-12:00"
409767251	Markt Apotheke		53.9198463	10.6972010		Markt	17		"Mo,Tu,Th,Fr 08:30-18:00; We 08:00-18:00; Sa 08:00-13:00"
412199827	Cleverbrück Apotheke		53.9049749	10.6717310	Bad Schwartau	Hauptstraße	60	23611	
412199831	Ahorn Apotheke		53.9056926	10.6738827	Bad Schwartau	Hauptstraße	50	23611	
413705717	Reuter-Apotheke		53.4794657	10.6175137	Büchen	Zwischen den Brücken	1	21514	Mo-Fr 08:00-19:00; Sa 08:00-13:00
413705754	Center-Apotheke		53.4850913	10.6154690	Büchen	Möllner Straße	35	21514	Mo-Fr 08:00-18:30; Sa 08:00-13:00; PH off
414206858	Theodor-Storm-Apotheke		54.1262325	9.4164297	Hanerau-Hademarschen	Theodor-Storm-Straße	9	25557	"Mo-Fr 08:00-19:00; We,Sa 08:00-13:00"
414206859	Schimmelreiter-Apotheke		54.1273796	9.4121193	Hanerau-Hademarschen	Im Kloster	17	25557	Mo-Tu 08:00-19:00; We 08:00-13:00; Th-Fr 08:00-19:00; Sa 08:00-13:00
416328193	Schulze's Apotheke		53.6514182	9.7922217	Pinneberg	Oeltingsallee	35	25421	
